x,Curve1
-62.977,8.504
-60.443,7.042
-58.595,6.444
-56.865,5.827
-54.719,5.07
-51.32,4.384
-48.19,4.067
-45.268,3.803
-42.317,3.521
-37.07,3.239
-32.777,3.239
-28.484,2.958
-23.237,2.676
-18.258,2.535
-13.697,2.535
-8.45,2.394
-3.203,2.394
2.044,2.394
6.814,2.394
11.823,2.394
17.07,2.394
21.84,2.535
25.894,2.535
30.903,2.535
35.196,2.817
39.966,3.239
43.305,3.468
46.644,3.944
50.46,4.085
54.544,4.859
58.003,5.44
60.716,6.056
62.981,6.866
65.963,8.31
67.394,8.873
69.302,10.986
